"work_year","experience_level","employment_type","job_title","salary_in_usd","company_size"
2020,"MI","FT","Data Scientist"," 79,833","L"
2020,"SE","FT","Machine Learning Scientist","260,000","S"
2020,"SE","FT","Big Data Engineer","109,024","M"
2020,"MI","FT","Product Data Analyst"," 20,000","S"
2020,"SE","FT","Machine Learning Engineer","150,000","L"
2020,"EN","FT","Data Analyst"," 72,000","L"
2020,"SE","FT","Lead Data Scientist","190,000","S"
2020,"MI","FT","Data Scientist"," 35,735","L"
2020,"MI","FT","Business Data Analyst","135,000","L"
2020,"SE","FT","Lead Data Engineer","125,000","S"
2020,"EN","FT","Data Scientist"," 51,321","S"
2020,"MI","FT","Data Scientist"," 40,481","L"
2020,"EN","FT","Data Scientist"," 39,916","M"
2020,"MI","FT","Lead Data Analyst"," 87,000","L"
2020,"MI","FT","Data Analyst"," 85,000","L"
2020,"MI","FT","Data Analyst","  8,000","L"
2020,"EN","FT","Data Engineer"," 41,689","S"
2020,"SE","FT","Big Data Engineer","114,047","S"
2020,"EN","FT","Data Science Consultant","  5,707","M"
2020,"MI","FT","Lead Data Engineer"," 56,000","M"
2020,"MI","FT","Machine Learning Engineer"," 43,331","M"
2020,"MI","FT","Product Data Analyst","  6,072","L"
2020,"SE","FT","Data Engineer"," 47,899","L"
2020,"MI","FT","BI Data Analyst"," 98,000","M"
2020,"MI","FT","Lead Data Scientist","115,000","L"
2020,"EX","FT","Director of Data Science","325,000","L"
2020,"EN","FT","Research Scientist"," 42,000","L"
2020,"SE","FT","Data Engineer"," 33,511","S"
2020,"EN","CT","Business Data Analyst","100,000","L"
2020,"SE","FT","Machine Learning Manager","117,104","L"
2020,"MI","FT","Data Engineering Manager"," 59,303","S"
2020,"EN","FT","Big Data Engineer"," 70,000","L"
2020,"SE","FT","Data Scientist"," 68,428","L"
2020,"MI","FT","Research Scientist","450,000","M"
2020,"MI","FT","Data Analyst"," 46,759","L"
2020,"MI","FT","Data Engineer"," 74,130","L"
2020,"MI","FT","Data Science Consultant","103,000","L"
2020,"EN","FT","Machine Learning Engineer","250,000","L"
2020,"EN","FT","Data Analyst"," 10,000","S"
2020,"EN","FT","Machine Learning Engineer","138,000","S"
2020,"MI","FT","Data Scientist"," 45,760","S"
2020,"EX","FT","Data Engineering Manager"," 79,833","L"
2020,"MI","FT","Machine Learning Infrastructure Engineer"," 50,180","M"
2020,"MI","FT","Data Engineer","106,000","L"
2020,"MI","FT","Data Engineer","112,872","L"
2020,"EN","PT","ML Engineer"," 15,966","S"
2020,"MI","FT","Data Scientist"," 76,958","S"
2020,"SE","FT","Data Engineer","188,000","L"
2020,"MI","FT","Data Scientist","105,000","L"
2020,"MI","FT","Data Engineer"," 70,139","L"
2020,"EN","FT","Data Analyst","  6,072","S"
2020,"EN","FT","Data Analyst"," 91,000","L"
2020,"EN","FT","AI Scientist"," 45,896","S"
2020,"EN","FT","Data Engineer"," 54,742","L"
2020,"SE","FL","Computer Vision Engineer"," 60,000","S"
2020,"SE","FT","Principal Data Scientist","148,261","M"
2020,"MI","FT","Data Scientist"," 38,776","M"
2020,"MI","FT","Data Scientist","118,000","M"
2020,"SE","FT","Data Scientist","120,000","L"
2020,"MI","FT","Data Scientist","138,350","M"
2020,"MI","FT","Data Engineer","110,000","L"
2020,"MI","FT","Data Engineer","130,800","M"
2020,"EN","PT","Data Scientist"," 21,669","S"
2020,"SE","FT","Data Scientist","412,000","L"
2020,"SE","FT","Machine Learning Engineer"," 45,618","S"
2020,"EN","FT","Data Scientist"," 62,726","S"
2020,"EN","FT","Data Scientist"," 49,268","S"
2020,"SE","FT","Data Science Manager","190,200","M"
2020,"EN","FT","Data Scientist","105,000","S"
2020,"SE","FT","Data Scientist"," 91,237","S"
